Organization Name,Period,Company Name,Tenant Reference,Agreement Name,Tenant Primary Domain,Subscription ID,Subscription Name,Account Department Tag,Account Cost Center Tag,Account Project Tag,Account Owner Tag,Account Custom Tag,Product ID,Product SKU,Meter ID,Meter Name,Category,Subcategory,Product Start Date,Product End Date,Publisher,Unit Price,Quantity,Included Quantity,Unit,Reseller Price,Included Quantity Amount,Summed Amount,Currency,Reseller Markup (%),Reseller Markup,Reseller Sales Unit Price,Reseller Sales Price Total
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-CAN1-AWS-Out-Bytes,Amazon Simple Storage Service,ReadACL,9/1/2021,9/30/2021,Amazon,0.09,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.09,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-Lambda-GB-Second,AWS Lambda,Invoke,9/1/2021,9/30/2021,Amazon,0.00,10.14,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,5.51,0.00,Each,0.28,0.00,0.28,USD,0%,0.00,0.05,0.28
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,0.08,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.05,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-APS1-AWS-In-Bytes,Amazon Virtual Private Cloud,CreateVpnConnection,9/1/2021,9/30/2021,Amazon,0.00,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.00,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,12.28,0.00,Each,0.61,0.00,0.61,USD,0%,0.00,0.05,0.61
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-TimedStorage-ByteHrs,Amazon Simple Storage Service,StandardStorage,9/1/2021,9/30/2021,Amazon,0.02,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.02,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,39.87,0.00,Each,1.99,0.00,1.99,USD,0%,0.00,0.05,1.99
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-TimedStorage-ByteHrs,AmazonCloudWatch,HourlyStorageMetering,9/1/2021,9/30/2021,Amazon,0.03,0.00,0.00,Each,0.00,0.00,0.00,USD,0%,0.00,0.03,0.00
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,3817.02,0.00,Each,190.85,0.00,190.85,USD,0%,0.00,0.05,190.85
TAMISER ADVISORS PVT. LTD.,September,Dalmia Cement Bharat,,AWS,Dalmia Cement Bharat,049354604647,AWS - Dalmia Cement Bharat,,,SAP DEVQA,,,235831,AWS-UC,AWS-001,APS3-EBS:SnapshotUsage,Amazon Elastic Compute Cloud,CreateSnapshot,9/1/2021,9/30/2021,Amazon,0.05,51.84,0.00,Each,2.59,0.00,2.59,USD,0%,0.00,0.05,2.59
