obs_ts,wind,geothermal,biomass,biogas,small_hydro,coal,nuclear,natural_gas,large_hydro,batteries,imports,other,biogas_co2,biomass_co2,natural_gas_co2,coal_co2,imports_co2,geothermal_co2
2020-01-01 0:00:00,298,651,305,223,222,11,2274,7871,1561,0,8653,0,117,136,3463,9,3910,6
2020-01-01 0:05:00,290,651,305,227,214,11,2273,8143,1438,9,8546,0,118,135,3495,9,3811,6
2020-01-01 0:10:00,285,651,283,229,205,11,2274,8437,1348,0,8395,0,120,135,3634,8,3784,6
2020-01-01 0:15:00,276,650,305,230,206,10,2273,8453,1317,7,8350,0,120,128,3705,8,3688,6
2020-01-01 0:20:00,275,649,305,230,205,10,2273,8402,1339,4,8339,0,120,134,3695,8,3654,6
2020-01-01 0:25:00,278,650,306,230,208,9,2273,8400,1302,0,8263,0,119,133,3658,7,3630,6
2020-01-01 0:30:00,271,650,283,230,210,9,2273,8370,1314,0,8218,0,119,133,3666,7,3595,6
2020-01-01 0:35:00,272,650,305,231,211,10,2274,8276,1318,0,8234,0,119,126,3633,7,3578,6
2020-01-01 0:40:00,279,650,306,231,211,9,2273,8234,1303,0,8229,0,120,133,3602,7,3587,6
2020-01-01 0:45:00,291,650,305,231,211,10,2274,8202,1299,0,8208,0,120,133,3590,7,3582,6
2020-01-01 0:50:00,294,650,284,231,211,10,2273,8129,1309,0,8200,0,120,133,3570,7,3582,6
2020-01-01 0:55:00,297,649,305,231,211,9,2273,8055,1299,0,8226,0,120,127,3540,7,3591,6
2020-01-01 1:00:00,298,649,306,231,211,8,2273,8220,1286,0,8002,0,121,134,3537,7,3592,6
2020-01-01 1:05:00,297,649,306,231,211,8,2272,8389,1261,-3,7798,0,120,134,3623,6,3485,6
2020-01-01 1:10:00,311,649,306,231,210,9,2272,8363,1255,0,7750,0,120,134,3674,6,3409,6
2020-01-01 1:15:00,347,649,305,231,210,9,2271,8246,1250,0,7757,0,119,133,3625,7,3371,6
2020-01-01 1:20:00,393,649,305,231,210,8,2272,8129,1258,0,7775,0,119,132,3578,7,3376,6
2020-01-01 1:25:00,458,648,305,231,209,8,2273,8158,1254,-3,7611,0,120,133,3554,6,3377,6
2020-01-01 1:30:00,544,648,305,231,209,8,2272,8156,1199,-14,7533,0,120,133,3575,6,3316,6
2020-01-01 1:35:00,621,647,305,231,209,8,2273,8086,1140,-15,7549,0,120,133,3554,6,3301,6
2020-01-01 1:40:00,635,647,306,231,209,8,2273,7948,1157,0,7572,0,120,133,3533,6,3292,6
2020-01-01 1:45:00,604,647,290,231,210,8,2274,7826,1227,6,7597,0,120,127,3467,6,3320,6
2020-01-01 1:50:00,606,648,284,231,209,9,2273,7689,1239,0,7625,0,121,134,3453,6,3338,6
2020-01-01 1:55:00,586,647,306,231,210,8,2274,7660,1239,0,7649,0,121,129,3418,7,3374,6
2020-01-01 2:00:00,565,646,307,231,210,8,2274,7516,1223,0,7763,0,122,136,3393,7,3411,6
2020-01-01 2:05:00,585,647,293,231,210,9,2273,7383,1187,0,7871,0,122,130,3329,7,3473,6
2020-01-01 2:10:00,608,647,306,231,211,8,2273,7440,1163,-3,7791,0,122,137,3305,7,3517,6
2020-01-01 2:15:00,589,647,305,230,210,8,2273,7464,1146,-4,7760,0,123,137,3330,6,3480,6
2020-01-01 2:20:00,566,646,305,230,210,9,2274,7321,1169,-2,7863,0,122,136,3327,7,3470,6
2020-01-01 2:25:00,540,646,305,230,211,9,2274,7295,1157,-4,7878,0,122,135,3256,7,3491,6
2020-01-01 2:30:00,509,646,305,231,210,9,2273,7290,1162,0,7877,0,122,136,3233,7,3510,6
2020-01-01 2:35:00,499,646,305,230,211,9,2273,7230,1179,0,7883,0,122,135,3220,7,3494,6
2020-01-01 2:40:00,472,645,306,230,211,10,2274,7190,1182,0,7885,0,121,135,3184,7,3480,6
2020-01-01 2:45:00,466,645,306,231,212,9,2273,7195,1193,4,7855,0,121,135,3179,7,3475,6
2020-01-01 2:50:00,454,645,306,230,212,8,2273,7170,1187,0,7840,0,121,135,3180,7,3471,6
2020-01-01 2:55:00,449,645,305,230,211,8,2273,7244,1171,0,7762,0,121,135,3181,6,3466,6
2020-01-01 3:00:00,463,645,306,231,211,8,2274,7224,1177,0,7720,0,121,135,3212,6,3427,6
2020-01-01 3:05:00,453,645,305,231,211,8,2273,7207,1195,3,7748,0,121,135,3189,6,3414,6
2020-01-01 3:10:00,440,645,305,231,210,9,2274,7116,1206,0,7813,0,121,135,3178,6,3420,6
2020-01-01 3:15:00,418,645,305,231,210,9,2273,7082,1200,0,7861,0,121,135,3136,7,3452,6
2020-01-01 3:20:00,409,643,305,231,209,9,2273,7077,1178,-5,7876,0,121,134,3121,7,3471,6
